relationship	PC	prediction_contrib
Compound—resembles—Warfarin	10	0.023297
Compound—binds—KCNK10	364	0.023283
Compound—resembles—Mephentermine	2	0.023172
Compound—binds—RAF1	1345	0.023056
Compound—causes—Gastrointestinal disorder	875	0.022801
Compound—resembles—Isocarboxazid	1	0.022778
Compound—causes—Decreased appetite	1001	0.022653
Compound—causes—Dysarthria	465	0.022268
Compound—causes—Coordination abnormal	481	0.02205
Compound—causes—Body temperature increased	982	0.022007
Compound—binds—SLC6A3	1010	0.0219
Compound—binds—SLC22A8	247	0.021777
Compound—binds—SLC22A1	1179	0.021712
Compound—binds—UGT2B15	194	0.021609
Compound—resembles—Phentermine	8	0.021525
Compound—causes—Leukopenia	774	0.021417
Compound—binds—UGT2B7	322	0.02113
Compound—binds—KCNK18	312	0.020994
Compound—causes—Balance disorder	198	0.02098
Compound—causes—Paraesthesia	848	0.020663
Compound—causes—Euphoric mood	466	0.02064
Compound—binds—KCNQ1	238	0.020362
Compound—causes—Pruritus	1094	0.020319
Compound—causes—Anorexia	846	0.020188
Compound—causes—Dyspepsia	829	0.020179
Compound—causes—Insomnia	922	0.020161
Compound—causes—Agranulocytosis	490	0.019823
Compound—causes—Anxiety	776	0.019732
Compound—causes—Vertigo	801	0.019676
Compound—causes—Shock	753	0.019651
Compound—binds—HTR3A	376	0.019569
Compound—causes—Respiratory failure	222	0.019406
Compound—causes—Hypoxia	113	0.019033
Compound—causes—Anaemia megaloblastic	42	0.018834
Compound—causes—Convulsion	590	0.01775
Compound—resembles—Amphetamine	8	0.017598
Compound—causes—Diarrhoea	982	0.017548
Compound—resembles—Dextroamphetamine	5	0.017547
Compound—causes—Hypersensitivity	847	0.017536
Compound—causes—Suicidal behaviour	91	0.017404
Compound—causes—Dry mouth	800	0.017374
Compound—causes—Bradycardia	481	0.017312
Compound—causes—Vision blurred	646	0.017201
Compound—causes—Syncope	646	0.016968
Compound—resembles—Doxapram	6	0.016882
Compound—causes—Suicidal ideation	220	0.016857
Compound—causes—Urticaria	922	0.016731
Compound—causes—Nightmare	189	0.016705
Compound—resembles—Pirenzepine	5	0.016529
Compound—causes—Excitement	112	0.016307
Compound—binds—CYP1B1	261	0.016163
Compound—causes—Muscle twitching	366	0.016117
Compound—resembles—Prochlorperazine	17	0.015833
Compound—causes—Thrombocytopenia	684	0.015747
Compound—resembles—Chlorcyclizine	3	0.015481
Compound—binds—SLC6A11	252	0.015375
Compound—causes—Loss of consciousness	589	0.015229
Compound—causes—Slurred speech	119	0.015203
Compound—causes—Delusion	240	0.015192
Compound—binds—TRPA1	56	0.015082
Compound—causes—Mental disorder	545	0.015049
Compound—causes—Nervous system disorder	631	0.014912
Compound—causes—Amnesia	466	0.014859
Compound—resembles—Chlorpromazine	65	0.014711
Compound—resembles—Magnesium salicylate	6	0.01457
Compound—causes—Hostility	220	0.014517
Compound—binds—CHRM4	2328	0.014245
Compound—causes—Anterograde amnesia	36	0.014051
Compound—causes—Erythema multiforme	494	0.013977
Compound—causes—Eosinophilia	390	0.013934
Compound—causes—Gait disturbance	300	0.013821
Compound—binds—KCNK2	304	0.013755
Compound—causes—Hiccups	201	0.013531
Compound—causes—Disinhibition	29	0.013496
Compound—binds—UGT1A8	67	0.013403
Compound—causes—Hepatitis	341	0.013387
Compound—causes—Salivary hypersecretion	266	0.013141
Compound—binds—KCND3	279	0.013138
Compound—causes—Lethargy	339	0.012987
Compound—causes—Weight decreased	416	0.012987
Compound—causes—Unspecified disorder of skin and subcutaneous tissue	497	0.012978
Compound—causes—Disturbance in attention	241	0.012972
Compound—causes—Muscular weakness	512	0.012921
Compound—causes—Eye disorder	494	0.012867
Compound—causes—Affect lability	488	0.012768
Compound—binds—CHRM5	2268	0.012744
Compound—causes—Tinnitus	492	0.012742
Compound—causes—Stevens-Johnson syndrome	417	0.012643
Compound—causes—Systemic lupus erythematosus	117	0.012553
Compound—causes—Urinary retention	361	0.012504
Compound—causes—Skin disorder	513	0.012437
Compound—binds—HRH1	2896	0.01235
Compound—causes—Delirium	200	0.012295
Compound—causes—Mood swings	488	0.012288
Compound—binds—BRAF	522	0.012119
Compound—causes—Discomfort	593	0.012043
Compound—causes—Memory impairment	221	0.011818
Compound—causes—Tachycardia	646	0.011792
Compound—causes—Osteoarthritis	465	0.011765
Compound—causes—Lymphadenopathy	308	0.011762
Compound—causes—Urinary incontinence	325	0.011686
Compound—binds—SLC22A2	1140	0.011575
Compound—causes—Depression	478	0.011533
Compound—binds—SLC12A3	138	0.011519
Compound—binds—UGT1A6	92	0.011423
Compound—causes—Liver injury	70	0.011328
Compound—causes—Amblyopia	217	0.011317
Compound—causes—Hyperhidrosis	616	0.011266
Compound—causes—Incontinence	77	0.01122
Compound—causes—Malnutrition	466	0.011185
Compound—causes—Chills	449	0.01113
Compound—binds—ADRA1B	2310	0.011027
Compound—causes—Hepatic failure	168	0.010986
Compound—causes—Apathy	199	0.010792
Compound—causes—Status epilepticus	64	0.01078
Compound—causes—Flat affect	199	0.010695
Compound—binds—DRD3	1592	0.010569
Compound—resembles—Flurbiprofen	17	0.010556
Compound—causes—Cough	512	0.010556
Compound—causes—Muscle spasms	497	0.010537
Compound—binds—HTR1B	1492	0.010424
Compound—causes—Hypoaesthesia	417	0.010347
Compound—causes—Visual impairment	353	0.010338
Compound—causes—Malaise	491	0.010322
Compound—resembles—Ethopropazine	11	0.01032
Compound—causes—Ill-defined disorder	477	0.010294
Compound—binds—HTR2B	1077	0.010291
Compound—causes—Muscle relaxant therapy	167	0.010241
Compound—causes—Palpitations	533	0.010221
Compound—causes—Photosensitivity reaction	348	0.010208
Compound—causes—Weight increased	391	0.010139
Compound—causes—Infection	562	0.010044
Compound—causes—Blood disorder	108	0.010012
Compound—causes—Toxic epidermal necrolysis	253	0.010008
Compound—causes—Dyskinesia	282	0.0099719
Compound—causes—Increased appetite	289	0.0098764
Compound—binds—ADRA1A	2298	0.0098636
Compound—binds—SLC22A5	251	0.0098344
Compound—causes—Musculoskeletal discomfort	648	0.0098319
Compound—causes—Digestion impaired	56	0.0097505
Compound—causes—Laryngospasm	73	0.0097234
Compound—causes—Orthostatic hypotension	280	0.0097059
Compound—binds—TACR1	427	0.0096909
Compound—causes—Hypotonia	167	0.0096908
Compound—palliates—rheumatoid arthritis	1	0.0096543
Compound—causes—Polyuria	260	0.0096148
Compound—binds—HTR1D	1119	0.0095695
Compound—causes—Drug withdrawal syndrome	91	0.0095312
Compound—binds—DRD1	1098	0.009524
Compound—causes—Withdrawal symptom	71	0.0094973
Compound—causes—Urine output increased	228	0.0094838
Compound—causes—Dysgeusia	463	0.0094433
Compound—binds—ABCB11	263	0.0093542
Compound—binds—HRH4	1348	0.0093521
Compound—causes—Pollakiuria	310	0.0092917
Compound—causes—Coma	210	0.0092751
Compound—causes—Angioedema	302	0.009229
Compound—binds—GPT	76	0.0092124
Compound—causes—Disorientation	209	0.0091717
Compound—causes—Suicide attempt	151	0.0091716
Compound—causes—Myoclonus	105	0.0091418
Compound—causes—Connective tissue disorder	337	0.0091314
Compound—causes—Myalgia	578	0.009131
Compound—binds—GLRA1	220	0.0091288
Compound—causes—Anger	84	0.0091231
Compound—binds—SLC12A1	77	0.0091228
Compound—binds—KCNH2	512	0.008942
Compound—causes—Abdominal pain	572	0.0089372
Compound—resembles—Phenelzine	5	0.0089016
Compound—causes—Chest pain	497	0.0088766
Compound—causes—Anaemia	460	0.0087888
Compound—binds—LIMK1	201	0.0087591
Compound—binds—GPT2	77	0.0087544
Compound—causes—Hepatocellular injury	75	0.0086809
Compound—causes—Nephrolithiasis	90	0.0086304
Compound—causes—Speech disorder	241	0.0086034
Compound—causes—Metabolic acidosis	36	0.0085797
Compound—causes—Extrapyramidal disorder	144	0.0084952
Compound—binds—PSMD2	382	0.0084417
Compound—causes—Upper airway obstruction	3	0.0084298
Compound—binds—HRH2	1008	0.0084292
Compound—causes—Liver function test abnormal	299	0.0083719
Compound—binds—ATP5D	300	0.0083566
Compound—causes—Personality disorder	131	0.0082986
Compound—causes—Dysuria	325	0.0082902
Compound—binds—ATP2C1	232	0.008248
Compound—causes—Stupor	210	0.0082394
Compound—causes—Pneumonia	385	0.0081947
Compound—causes—Dyspnoea	556	0.0081378
Compound—binds—DRD4	1203	0.0081011
Compound—causes—Epistaxis	325	0.0080967
Compound—resembles—Diphenhydramine	15	0.008084
Compound—binds—SCN3B	154	0.0080801
Compound—causes—Pain	467	0.0080541
Compound—causes—Urinary tract infection	337	0.0080469
Compound—binds—KCNK1	87	0.0080131
Compound—binds—UGT1A9	221	0.0079297
Compound—causes—Hyperventilation	121	0.00789
Compound—causes—Aplastic anaemia	104	0.0078799
Compound—causes—Erectile dysfunction	271	0.0078741
Compound—binds—KCNK6	79	0.0078559
Compound—causes—Dysphagia	364	0.0078454
Compound—binds—CACNB3	317	0.0077573
Compound—causes—Photophobia	210	0.0077518
Compound—causes—Back pain	393	0.0077163
Compound—causes—Pancytopenia	253	0.0077105
Compound—causes—Anaphylactic shock	352	0.0077013
Compound—causes—Hyperreflexia	111	0.0076784
Compound—causes—Immune system disorder	299	0.0076332
Compound—causes—Hepatobiliary disease	241	0.0076162
Compound—resembles—Salsalate	4	0.0076127
Compound—causes—Rhinitis	390	0.0075556
Compound—causes—Hangover	32	0.0075519
Compound—binds—SCN2B	110	0.0075389
Compound—causes—Arthralgia	477	0.0075134
Compound—causes—Gastrointestinal pain	505	0.0074644
Compound—causes—Mediastinal disorder	260	0.0074643
Compound—causes—Conversion disorder	25	0.0074402
Compound—causes—Sweating	270	0.0074337
Compound—binds—ALDH5A1	123	0.0074193
Compound—causes—Hypertension	397	0.0073544
Compound—causes—Asthma	286	0.00735
Compound—causes—Lupus erythematosus	72	0.0073085
Compound—causes—Hyporeflexia	118	0.007281
Compound—causes—Alopecia	336	0.0072397
Compound—causes—Haematuria	240	0.0071655
Compound—causes—Bronchitis	309	0.0071635
Compound—causes—Cardiac arrest	221	0.0071065
Compound—binds—PSMD1	371	0.0070913
Compound—causes—Mania	145	0.0070615
Compound—binds—KCNC3	91	0.0069648
Compound—binds—SCN4B	140	0.0068969
Compound—causes—Disturbance in sexual arousal	225	0.0068791
Compound—binds—ABCC3	291	0.0068323
Compound—causes—Accidental injury	170	0.006805
Compound—causes—Dermatitis exfoliative	91	0.0067814
Compound—binds—SIK1	45	0.0066559
Compound—causes—Encephalopathy	141	0.0066552
Compound—binds—CACNB1	226	0.0066028
Compound—causes—Depersonalisation	153	0.0065921
Compound—causes—Unsteadiness	24	0.006584
Compound—causes—Gingival bleeding	99	0.0065646
Compound—causes—Abnormal behaviour	64	0.0065638
Compound—causes—Neurosis	84	0.0065578
Compound—causes—Sleep disorder	161	0.006523
Compound—binds—ADRA2B	1218	0.0065052
Compound—causes—Renal failure	253	0.0064548
Compound—binds—PSMA1	367	0.0064449
Compound—causes—Pharyngitis	351	0.0063871
Compound—causes—Hypokalaemia	171	0.0063418
Compound—binds—CTSG	54	0.0063147
Compound—causes—Influenza	232	0.0063048
Compound—causes—Body temperature decreased	91	0.0062421
Compound—causes—Hypothermia	91	0.0062421
Compound—causes—Sinusitis	331	0.0062369
Compound—causes—Osteomalacia	20	0.0061763
Compound—causes—Hypokinesia	160	0.0061715
Compound—binds—PSMB2	372	0.0061576
Compound—causes—Sleep disturbance	56	0.0061548
Compound—causes—Fracture	104	0.0061477
Compound—causes—Multiple fractures	104	0.0061477
Compound—causes—Visual disturbance	105	0.0061269
Compound—causes—Ear pain	249	0.0060689
Compound—causes—Oedema	354	0.0060671
Compound—binds—CYP3A43	240	0.0060605
Compound—binds—SLCO1B1	459	0.0060411
Compound—causes—Hypertonia	200	0.0060394
Compound—causes—Tingling sensation	49	0.0060282
Compound—binds—GLRB	126	0.0060272
Compound—causes—Mydriasis	119	0.0060259
Compound—causes—Hyponatraemia	180	0.0060256
Compound—causes—Injury	209	0.0060138
Compound—resembles—Phenprocoumon	3	0.0060098
Compound—causes—Cardiac disorder	240	0.0059856
Compound—binds—HTR1E	738	0.0059771
Compound—causes—Cerebration impaired	92	0.0059593
Compound—binds—KCNN4	76	0.0059524
Compound—causes—Pancreatitis	199	0.0059377
Compound—causes—Atrioventricular block	137	0.005866
Compound—causes—Pneumonia aspiration	40	0.0058294
Compound—binds—PSMB1	371	0.005794
Compound—causes—Libido decreased	184	0.0057471
Compound—binds—KCNJ8	113	0.0057272
Compound—binds—KCNA2	94	0.0057019
Compound—binds—HTR5A	367	0.0057005
Compound—causes—Hyperglycaemia	211	0.0056198
Compound—causes—Arrhythmia	157	0.0055645
Compound—causes—Dehydration	210	0.0055255
Compound—binds—ADORA1	377	0.0054767
Compound—causes—Lymphoma	35	0.0054275
Compound—causes—Non-Hodgkin's lymphoma	35	0.0054275
Compound—binds—KCNC2	169	0.0054194
Compound—binds—UGT1A1	94	0.0054075
Compound—causes—Purpura	161	0.0053958
Compound—resembles—Antazoline	1	0.0053886
Compound—binds—ADRA1D	1143	0.0053539
Compound—causes—Rage	12	0.005338
Compound—causes—Dermatitis bullous	162	0.0053352
Compound—binds—PSMB5	368	0.0053274
Compound—causes—Jaundice	135	0.0053142
Compound—causes—Infestation NOS	161	0.0053032
Compound—causes—Infestation	161	0.0053032
Compound—binds—GRIA3	196	0.0052541
Compound—causes—Neuropathy peripheral	212	0.0052481
Compound—causes—Conjunctivitis	287	0.0052465
Compound—causes—Hepatic insufficiency	4	0.0052396
Compound—causes—Aggressive reaction	43	0.0052371
Compound—causes—Alertness decreased	8	0.0052034
Compound—causes—Albuminuria	88	0.0051869
Compound—binds—KCNH3	92	0.0051452
Compound—causes—Myasthenia	104	0.0051209
Compound—causes—Appetite absent	24	0.0050431
Compound—causes—Nasopharyngitis	136	0.0050042
Compound—binds—KCNA4	92	0.0049826
Compound—causes—Cardiac failure	177	0.0049732
Compound—binds—KCNA6	89	0.0049412
Compound—causes—Face oedema	217	0.0049295
Compound—causes—Photosensitivity	80	0.0049244
Compound—binds—SLC31A1	71	0.0049235
Compound—binds—GRIK4	139	0.0048986
Compound—causes—Folate deficiency	12	0.0048942
Compound—binds—PSMB8	383	0.0048789
Compound—causes—Injection site reaction	70	0.0048575
Compound—binds—KCNA3	119	0.0048499
Compound—causes—Emotional distress	24	0.0048446
Compound—causes—Thirst	181	0.0048385
Compound—causes—Calculus of kidney	52	0.0048134
Compound—causes—Nocturia	105	0.0047915
Compound—binds—OPRK1	824	0.0047779
Compound—causes—Rash pustular	104	0.0047649
Compound—binds—GRIK3	143	0.0047608
Compound—causes—Oedema peripheral	254	0.0047473
Compound—causes—Rash maculo-papular	151	0.004742
Compound—binds—KCNE1	3	0.0047411
Compound—binds—KCNF1	93	0.0047389
Compound—causes—Accommodation disorder	78	0.0047337
Compound—causes—Tingling of extremity	10	0.0046986
Compound—binds—KCND1	90	0.0046922
Compound—causes—Thrombophlebitis	170	0.0046747
Compound—binds—KCNH8	91	0.0046743
Compound—causes—Flatulence	288	0.0046739
Compound—causes—Cough increased	117	0.004666
Compound—causes—Clonic movements	1	0.0046654
Compound—causes—Hysteria	21	0.0046603
Compound—causes—Petechiae	84	0.0046497
Compound—causes—Gynaecomastia	119	0.0046448
Compound—causes—Vaginal haemorrhage	78	0.0046224
Compound—causes—Vascular purpura	127	0.0045897
