source_edge	paths	contribution
Compound—causes—Flat affect	199	0.010697
Compound—binds—DRD3	1592	0.010568
Compound—resembles—Flurbiprofen	17	0.010562
Compound—causes—Cough	512	0.010555
Compound—causes—Muscle spasms	497	0.010537
Compound—binds—HTR1B	1492	0.010424
Compound—causes—Hypoaesthesia	417	0.010346
Compound—causes—Visual impairment	353	0.010339
Compound—causes—Malaise	491	0.010322
Compound—resembles—Ethopropazine	11	0.010315
Compound—binds—HTR2B	1077	0.010294
Compound—causes—Ill-defined disorder	477	0.010293
Compound—causes—Muscle relaxant therapy	167	0.01024
Compound—causes—Palpitations	533	0.01022
Compound—causes—Photosensitivity reaction	348	0.01021
Compound—causes—Weight increased	391	0.010138
Compound—causes—Infection	562	0.010044
Compound—causes—Blood disorder	108	0.010012
Compound—causes—Toxic epidermal necrolysis	253	0.01001
Compound—causes—Dyskinesia	282	0.009971
Compound—causes—Increased appetite	289	0.0098761
Compound—binds—ADRA1A	2298	0.0098648
Compound—binds—SLC22A5	251	0.0098401
Compound—causes—Musculoskeletal discomfort	648	0.0098315
Compound—causes—Digestion impaired	56	0.0097505
Compound—causes—Laryngospasm	73	0.0097264
Compound—causes—Orthostatic hypotension	280	0.0097054
Compound—causes—Hypotonia	167	0.0096886
Compound—binds—TACR1	427	0.009688
Compound—palliates—rheumatoid arthritis	1	0.00965
Compound—causes—Polyuria	260	0.0096149
Compound—binds—HTR1D	1119	0.009564
Compound—causes—Drug withdrawal syndrome	91	0.009532
Compound—binds—DRD1	1098	0.0095242
Compound—causes—Withdrawal symptom	71	0.0094965
Compound—causes—Urine output increased	228	0.0094834
Compound—causes—Dysgeusia	463	0.0094439
Compound—binds—ABCB11	263	0.0093538
Compound—binds—HRH4	1348	0.0093529
Compound—causes—Pollakiuria	310	0.0092915
Compound—causes—Coma	210	0.0092744
Compound—causes—Angioedema	302	0.0092298
Compound—binds—GPT	76	0.0092137
Compound—causes—Suicide attempt	151	0.0091706
Compound—causes—Disorientation	209	0.0091698
Compound—causes—Myoclonus	105	0.0091428
Compound—causes—Connective tissue disorder	337	0.0091316
Compound—causes—Myalgia	578	0.009131
Compound—binds—GLRA1	220	0.009128
Compound—causes—Anger	84	0.0091246
Compound—binds—SLC12A1	77	0.0091226
Compound—binds—KCNH2	512	0.008942
Compound—causes—Abdominal pain	572	0.0089373
Compound—resembles—Phenelzine	5	0.0088976
Compound—causes—Chest pain	497	0.0088765
Compound—causes—Anaemia	460	0.0087897
Compound—binds—LIMK1	201	0.0087595
Compound—binds—GPT2	77	0.0087532
Compound—causes—Hepatocellular injury	75	0.0086817
Compound—causes—Nephrolithiasis	90	0.0086264
Compound—causes—Speech disorder	241	0.008603
Compound—causes—Metabolic acidosis	36	0.0085787
Compound—causes—Extrapyramidal disorder	144	0.0084955
Compound—binds—PSMD2	382	0.0084441
Compound—binds—HRH2	1008	0.0084283
Compound—causes—Upper airway obstruction	3	0.008428
Compound—causes—Liver function test abnormal	299	0.0083719
Compound—binds—ATP5D	300	0.0083591
Compound—causes—Personality disorder	131	0.0082987
Compound—causes—Dysuria	325	0.0082903
Compound—binds—ATP2C1	232	0.0082474
Compound—causes—Stupor	210	0.00824
Compound—causes—Pneumonia	385	0.0081936
Compound—causes—Dyspnoea	556	0.0081383
Compound—binds—DRD4	1203	0.0081006
Compound—causes—Epistaxis	325	0.0080973
Compound—resembles—Diphenhydramine	15	0.0080832
Compound—binds—SCN3B	154	0.0080804
Compound—causes—Pain	467	0.0080553
Compound—causes—Urinary tract infection	337	0.0080475
Compound—binds—KCNK1	87	0.0080153
Compound—binds—UGT1A9	221	0.0079335
Compound—causes—Hyperventilation	121	0.0078887
Compound—causes—Aplastic anaemia	104	0.0078794
Compound—causes—Erectile dysfunction	271	0.0078744
Compound—binds—KCNK6	79	0.0078564
Compound—causes—Dysphagia	364	0.0078463
Compound—binds—CACNB3	317	0.0077621
Compound—causes—Photophobia	210	0.0077522
Compound—causes—Back pain	393	0.0077168
Compound—causes—Pancytopenia	253	0.0077117
Compound—causes—Anaphylactic shock	352	0.0077022
Compound—causes—Hyperreflexia	111	0.0076774
Compound—causes—Immune system disorder	299	0.0076323
Compound—causes—Hepatobiliary disease	241	0.0076151
Compound—resembles—Salsalate	4	0.0076102
Compound—causes—Rhinitis	390	0.0075561
Compound—causes—Hangover	32	0.0075548
Compound—binds—SCN2B	110	0.0075387
Compound—causes—Arthralgia	477	0.0075138
Compound—causes—Gastrointestinal pain	505	0.0074651
Compound—causes—Mediastinal disorder	260	0.0074648
Compound—causes—Conversion disorder	25	0.0074384
Compound—causes—Sweating	270	0.0074338
Compound—binds—ALDH5A1	123	0.0074236
Compound—causes—Hypertension	397	0.0073542
Compound—causes—Asthma	286	0.0073505
Compound—causes—Lupus erythematosus	72	0.0073112
Compound—causes—Hyporeflexia	118	0.0072817
Compound—causes—Alopecia	336	0.0072404
Compound—causes—Haematuria	240	0.007164
Compound—causes—Bronchitis	309	0.0071639
Compound—causes—Cardiac arrest	221	0.0071063
Compound—binds—PSMD1	371	0.0070923
Compound—causes—Mania	145	0.0070613
Compound—binds—KCNC3	91	0.0069679
Compound—binds—SCN4B	140	0.0069
Compound—causes—Disturbance in sexual arousal	225	0.0068789
Compound—binds—ABCC3	291	0.0068362
Compound—causes—Accidental injury	170	0.0068055
Compound—causes—Dermatitis exfoliative	91	0.006782
Compound—binds—SIK1	45	0.0066571
Compound—causes—Encephalopathy	141	0.0066552
Compound—binds—CACNB1	226	0.0066002
Compound—causes—Depersonalisation	153	0.0065924
Compound—causes—Unsteadiness	24	0.0065849
Compound—causes—Abnormal behaviour	64	0.0065661
Compound—causes—Gingival bleeding	99	0.0065654
Compound—causes—Neurosis	84	0.0065584
Compound—causes—Sleep disorder	161	0.0065225
Compound—binds—ADRA2B	1218	0.0065054
Compound—causes—Renal failure	253	0.0064535
Compound—binds—PSMA1	367	0.006446
Compound—causes—Pharyngitis	351	0.0063877
Compound—causes—Hypokalaemia	171	0.0063419
Compound—binds—CTSG	54	0.0063134
Compound—causes—Influenza	232	0.0063042
Compound—causes—Body temperature decreased	91	0.0062412
Compound—causes—Hypothermia	91	0.0062412
Compound—causes—Sinusitis	331	0.0062373
Compound—causes—Osteomalacia	20	0.0061768
Compound—causes—Hypokinesia	160	0.0061715
Compound—binds—PSMB2	372	0.0061571
Compound—causes—Sleep disturbance	56	0.0061556
Compound—causes—Fracture	104	0.0061468
Compound—causes—Multiple fractures	104	0.0061468
Compound—causes—Visual disturbance	105	0.0061267
Compound—causes—Ear pain	249	0.0060692
Compound—causes—Oedema	354	0.0060671
Compound—binds—CYP3A43	240	0.0060605
Compound—binds—SLCO1B1	459	0.0060402
Compound—causes—Hypertonia	200	0.0060401
Compound—causes—Tingling sensation	49	0.0060289
Compound—binds—GLRB	126	0.0060273
Compound—causes—Hyponatraemia	180	0.006026
Compound—causes—Mydriasis	119	0.0060255
Compound—resembles—Phenprocoumon	3	0.0060136
Compound—causes—Injury	209	0.0060136
Compound—causes—Cardiac disorder	240	0.0059852
Compound—binds—HTR1E	738	0.0059785
Compound—causes—Cerebration impaired	92	0.0059592
Compound—binds—KCNN4	76	0.0059508
Compound—causes—Pancreatitis	199	0.0059377
Compound—causes—Atrioventricular block	137	0.0058653
Compound—causes—Pneumonia aspiration	40	0.0058288
Compound—binds—PSMB1	371	0.0057931
Compound—causes—Libido decreased	184	0.0057472
Compound—binds—KCNJ8	113	0.0057267
Compound—binds—KCNA2	94	0.0057009
Compound—binds—HTR5A	367	0.0057007
Compound—causes—Hyperglycaemia	211	0.0056209
Compound—causes—Arrhythmia	157	0.0055639
Compound—causes—Dehydration	210	0.0055258
Compound—binds—ADORA1	377	0.0054776
Compound—causes—Non-Hodgkin's lymphoma	35	0.0054287
Compound—causes—Lymphoma	35	0.0054287
Compound—binds—KCNC2	169	0.0054187
Compound—binds—UGT1A1	94	0.0054091
Compound—causes—Purpura	161	0.0053964
Compound—resembles—Antazoline	1	0.00539
Compound—binds—ADRA1D	1143	0.0053553
Compound—causes—Rage	12	0.005336
Compound—causes—Dermatitis bullous	162	0.0053351
Compound—binds—PSMB5	368	0.0053261
Compound—causes—Jaundice	135	0.0053146
Compound—causes—Infestation NOS	161	0.0053029
Compound—causes—Infestation	161	0.0053029
Compound—binds—GRIA3	196	0.0052545
Compound—causes—Neuropathy peripheral	212	0.0052491
Compound—causes—Hepatic insufficiency	4	0.005248
Compound—causes—Conjunctivitis	287	0.0052464
Compound—causes—Aggressive reaction	43	0.0052357
Compound—causes—Alertness decreased	8	0.005199
Compound—causes—Albuminuria	88	0.005186
Compound—binds—KCNH3	92	0.0051419
Compound—causes—Myasthenia	104	0.0051219
Compound—causes—Appetite absent	24	0.0050422
Compound—causes—Nasopharyngitis	136	0.0050027
Compound—binds—KCNA4	92	0.0049829
Compound—causes—Cardiac failure	177	0.0049741
Compound—binds—KCNA6	89	0.0049399
Compound—causes—Face oedema	217	0.0049299
Compound—causes—Photosensitivity	80	0.0049248
Compound—binds—SLC31A1	71	0.0049224
Compound—binds—GRIK4	139	0.0048962
Compound—causes—Folate deficiency	12	0.004893
Compound—binds—PSMB8	383	0.0048798
Compound—causes—Injection site reaction	70	0.0048552
Compound—binds—KCNA3	119	0.0048528
Compound—causes—Emotional distress	24	0.0048451
Compound—causes—Thirst	181	0.0048382
Compound—causes—Calculus of kidney	52	0.0048113
Compound—causes—Nocturia	105	0.0047923
Compound—binds—OPRK1	824	0.0047791
Compound—causes—Rash pustular	104	0.0047656
Compound—binds—GRIK3	143	0.0047612
Compound—causes—Oedema peripheral	254	0.0047474
Compound—causes—Rash maculo-papular	151	0.0047422
Compound—binds—KCNF1	93	0.0047391
Compound—binds—KCNE1	3	0.004738
Compound—causes—Accommodation disorder	78	0.0047346
Compound—causes—Tingling of extremity	10	0.004697
Compound—binds—KCND1	90	0.0046929
Compound—binds—KCNH8	91	0.0046739
Compound—causes—Thrombophlebitis	170	0.0046738
Compound—causes—Flatulence	288	0.0046735
Compound—causes—Clonic movements	1	0.00467
Compound—causes—Cough increased	117	0.0046663
Compound—causes—Hysteria	21	0.0046593
Compound—causes—Petechiae	84	0.0046495
Compound—causes—Gynaecomastia	119	0.0046444
Compound—causes—Vaginal haemorrhage	78	0.0046214
Compound—causes—Vascular purpura	127	0.0045898
Compound—causes—Emotional disorder	9	0.004586
